text,disease
"Doctor, I've had bone pain, muscle weakness, frequent infections and low mood for the past few days.",Vitamin D Deficiency
"I feel terrible with fatigue, yellowing of skin and eyes, dark urine and nausea.",Hepatitis B
Feeling loud snoring,Sleep Apnea
I have sore throat,Common Cold
Experiencing profuse sweating,Malaria
Experiencing fluid-filled blisters on one side of body,Shingles
"I have inability to close one eye, drooling, loss of taste",Bell's Palsy
"Doctor, I've had muscle tension, difficulty concentrating, irritability",Generalized Anxiety Disorder
"Experiencing cyclical high fever, shivering chills, body ache",Malaria
"I cannot sleep because of runny nose, sore throat, mild cough and mild headache.",Common Cold
"My main issues right now are nausea, light sensitivity, visual aura and dizziness.",Migraine
"Been having intense skin itching, dry cracked skin patches, raw sensitive skin from scratching",Eczema
I have swollen red bumps resembling acne,Rosacea
"Suffering from recurrent abdominal cramps, persistent diarrhea, weight loss",Crohn's Disease
"Been having bullseye skin rash, stiff neck, swollen lymph nodes",Lyme Disease
Patient reports purple stretch marks and high blood pressure with increasing discomfort.,Cushing's Syndrome
"Experiencing runny nose, sneezing, nasal congestion",Common Cold
I have fatigue,Malaria
"I feel terrible with nasal congestion, thick nasal discharge, reduced smell and pressure around eyes.",Sinusitis
"Doctor, I've had animal bite on skin, anxiety and agitation for the past few days.",Rabies Exposure
"Been having burning sensation in eyes, scratchy feeling, blurred vision after reading",Dry Eye Syndrome
Feeling bullseye skin rash,Lyme Disease
"Suffering from persistent cough, chest discomfort, wheezing",Bronchitis
"I feel terrible with crushing chest pain, shortness of breath and dizziness.",Heart Attack
Experiencing large waist circumference,Metabolic Syndrome
"Doctor, I've had bright red rectal bleeding, itching around anus, pain during bowel movements and swelling or lump near anus for the past few days.",Hemorrhoids
"It started yesterday with bloating, nausea and dark stools.",Peptic Ulcer
"I have itchy fluid-filled blisters, headache, red spots on skin",Chickenpox
Woke up today with unintended weight loss and blurred vision.,Diabetes Type 1
"Feeling extreme fatigue, low blood pressure, nausea",Addison's Disease
"Experiencing chronic fatigue, sleep disturbances, tender trigger points",Fibromyalgia
"Clinical notes: Patient presenting with runny nose, sneezing and sore throat.",Common Cold
Feeling acid regurgitation,GERD
"Been having chronic diarrhea, gas, weight loss",Celiac Disease
"Over the last 48 hours, I noticed constant severe lower left abdominal pain and constipation.",Diverticulitis
"Noticed severe vomiting, muscle cramps, low blood pressure",Cholera
"Lately I have been feeling bone pain, muscle weakness and hair loss.",Vitamin D Deficiency
"Experiencing acute straining during bowel movements, feeling of incomplete evacuation, abdominal fullness and bloating.",Constipation
"Patient reports blind spots, throbbing head pain, nausea and light sensitivity with increasing discomfort.",Migraine with Aura
Experiencing wheezing,Heart Failure
"I have bloating, mucus in stool and food intolerance, what could this be?",Irritable Bowel Syndrome
I have nausea,Kidney Stones
"I cannot sleep because of bloody diarrhea, urgent need to defecate, cramping abdominal pain and rectal pain.",Ulcerative Colitis
Experiencing dizziness,Migraine
"Noticed severe headache, stomach pain, constipation or diarrhea",Typhoid Fever
Feeling bone pain,Vitamin D Deficiency
"I'm experiencing severe crippling joint pain, rash and headache.",Chikungunya
I have anxiety,Rabies Exposure
"Experiencing acute bleeding gums, corkscrew body hair and joint and muscle aches.",Scurvy
I have chills,Pneumonia
"Been having headache, body ache, fatigue",Malaria
It started yesterday with cold sweat and dizziness.,Heart Attack
"I have excruciating pain around one eye, nasal congestion on one side, restlessness",Cluster Headache
Woke up today with prolonged step-ladder fever and constipation or diarrhea.,Typhoid Fever
"Clinical notes: Patient presenting with sudden shortness of breath, sharp chest pain on breathing, coughing blood and dizziness.",Pulmonary Embolism
"Been having resting tremor, slow movement, shuffling gait",Parkinson's Disease
"Doctor, I've had daytime fatigue, irritability and difficulty concentrating for the past few days.",Insomnia Disorder
"I have racing heartbeat and fainting episodes, what could this be?",Arrhythmia
Lately I have been feeling pain radiating to lower abdomen and groin and painful urination.,Kidney Stones
"Suffering from muscle stiffness and slow movement, need medical guidance.",Parkinson's Disease
"Been having extreme fatigue, severe sore throat, swollen lymph nodes in neck",Mononucleosis
"It started yesterday with rapid heart rate, sweating, anxiety and bulging eyes.",Hyperthyroidism
"Woke up today with shortness of breath, fatigue and rapid breathing.",Pneumonia
"Feeling rapid heart rate, trembling hands, bulging eyes",Hyperthyroidism
"Suffering from swelling that changes shape and location and burning sensation on skin, need medical guidance.",Urticaria
"Experiencing acute slow heartbeat, dizziness, lightheadedness and fainting episodes.",Arrhythmia
"Noticed severe shakiness, sweating, blurred vision",Hypoglycemia
Experiencing chronic fatigue,Fibromyalgia
"Feeling nausea, vomiting, mild fever",Gastroenteritis
Patient reports shivering chills and fatigue with increasing discomfort.,Malaria
"I'm experiencing pink or red discoloration of eye, gritty feeling in eye, itchy eyes and watery discharge.",Conjunctivitis
"Doctor, I've had shortness of breath when lying flat, swelling in legs and ankles and persistent fatigue for the past few days.",Heart Failure
I cannot sleep because of foamy urine and swollen ankles.,Glomerulonephritis
Clinical notes: Patient presenting with chest tightness and sweating.,Panic Disorder
"Patient presenting with high fever, flank pain on one side, vomiting",Pyelonephritis
"Over the last 48 hours, I noticed dark yellow urine and dizziness upon standing.",Dehydration
"I'm experiencing pink or red discoloration of eye, gritty feeling in eye and itchy eyes.",Conjunctivitis
"I'm experiencing gradual numbness in feet, burning pain in hands and tingling sensations.",Peripheral Neuropathy
"Doctor, I've had round moon face and high blood pressure for the past few days.",Cushing's Syndrome
"It started yesterday with body ache, dry cough and headache.",Influenza
"I have coughing blood, chest pain and fever, what could this be?",Tuberculosis
"Experiencing acute red rash localized to area of contact, dry cracked scaly skin, bumps and blisters and burning sensation.",Contact Dermatitis
"Noticed severe persistent excessive worry, muscle tension, irritability",Generalized Anxiety Disorder
I have lightheadedness,Arrhythmia
"Been having severe sharp flank pain, pain radiating to lower abdomen and groin, nausea",Kidney Stones
"Doctor, I've had swelling in ankles and feet, foamy urine, nausea and metallic taste in mouth for the past few days.",Chronic Kidney Disease
"Suffering from tingling in hands and feet, smooth red tongue, fatigue and unsteady balance, need medical guidance.",Vitamin B12 Deficiency
"Doctor, I've had nosebleeds and blurred vision for the past few days.",Hypertension
"Over the last 48 hours, I noticed profuse watery diarrhea, rapid dehydration, sunken eyes and low blood pressure.",Cholera
"Over the last 48 hours, I noticed staring spells and aura.",Epilepsy
"Over the last 48 hours, I noticed symmetrical joint pain in both hands, morning joint stiffness lasting >1 hour, fatigue and fever.",Rheumatoid Arthritis
"Clinical notes: Patient presenting with chest pressure on exertion, pain radiating to jaw or left arm and lightheadedness.",Coronary Artery Disease
"Feeling severe sharp flank pain, blood in urine, nausea",Kidney Stones
Experiencing dizziness,Electrolyte Imbalance
"Lately I have been feeling pink or red discoloration of eye, gritty feeling in eye and watery discharge.",Conjunctivitis
"Doctor, I've had tingling around bite site, fever, headache",Rabies Exposure
"Suffering from breathlessness with exercise, fainting or dizziness upon standing and fatigue, need medical guidance.",Aortic Stenosis
I have vomiting,Pancreatitis
I'm experiencing tenderness to touch and joint stiffness near shoulder elbow or heel.,Tendinitis
Feeling dry cough,Laryngitis
Feeling cloudy or blurry vision,Cataract
"I have extreme thirst, extreme hunger, fatigue",Diabetes Type 1
"Been having electric shock sensations, tremor, vision loss in one eye",Multiple Sclerosis
"Over the last 48 hours, I noticed chest pain on deep inhalation, shortness of breath, dry persistent cough and fever.",Pleural Effusion
"Experiencing acute nausea, vomiting, body aches and dehydration.",Gastroenteritis
"Doctor, I've had symmetrical joint pain in both hands, morning joint stiffness lasting >1 hour and fatigue for the past few days.",Rheumatoid Arthritis
"Feeling rapid heart rate, coughing blood, dizziness",Pulmonary Embolism
My main issues right now are hoarseness and dry throat.,Laryngitis
Experiencing nausea,Addison's Disease
I have fever,Pharyngitis
"I've been dealing with dark urine, pale stools and yellowing of skin and eyes and it is getting worse.",Hepatitis A
"Experiencing acute persistent cough for more than 3 weeks, coughing blood and chest pain.",Tuberculosis
"I have persistent excessive worry, restlessness, muscle tension and difficulty concentrating, what could this be?",Generalized Anxiety Disorder
"Experiencing acute severe sore throat, fever and swollen neck lymph nodes.",Pharyngitis
I've been dealing with sudden intense joint pain in big toe and lingering joint discomfort and it is getting worse.,Gout
"Suffering from bright red rectal bleeding, pain during bowel movements, swelling or lump near anus",Hemorrhoids
"I've been dealing with nausea, low-grade fever, loss of appetite and rebound tenderness and it is getting worse.",Appendicitis
Experiencing painful frequent urination,Pyelonephritis
"Suffering from shortness of breath, severe nausea, dizziness",Heart Attack
I cannot sleep because of dark urine and nausea.,Hepatitis B
Experiencing pain radiating to right shoulder,Gallstones
Experiencing fever,Pancreatitis
"Patient presenting with morning headache, dizziness, chest tightness",Hypertension
"Doctor, I've had muscle tension, difficulty concentrating, sleep disturbance",Generalized Anxiety Disorder
I have shivering chills,Malaria
"I've been dealing with chronic fatigue, joint aches, jaundice and loss of appetite and it is getting worse.",Hepatitis C
